t, dist, e_dist, dist_err, input, output, error
0.007000, 3.852566, 1074.155342, -1070.302777, -1.570796, 1.040173, -2.610969, 
0.007100, 3.892311, 1051.767026, -1047.874715, -1.570796, 1.039970, -2.610766, 
0.007200, 3.931442, 1029.926060, -1025.994618, -1.570796, 1.039765, -2.610561, 
0.007300, 3.969951, 1008.618712, -1004.648761, -1.570796, 1.039557, -2.610353, 
0.007400, 4.007834, 987.831601, -983.823767, -1.570796, 1.039347, -2.610143, 
0.007500, 4.045084, 967.551682, -963.506598, -1.570796, 1.039133, -2.609929, 
0.007600, 4.081696, 947.766241, -943.684546, -1.570796, 1.038917, -2.609713, 
0.007700, 4.117662, 928.462885, -924.345223, -1.570796, 1.038697, -2.609493, 
0.007800, 4.152979, 909.629534, -905.476555, -1.570796, 1.038475, -2.609271, 
0.007900, 4.187640, 891.254412, -887.066772, -1.570796, 1.038250, -2.609046, 
0.008000, 4.221639, 873.326040, -869.104401, -1.570796, 1.038022, -2.608818, 
0.008100, 4.254972, 855.833228, -851.578256, -1.570796, 1.037791, -2.608587, 
0.008200, 4.287633, 838.765070, -834.477437, -1.570796, 1.037557, -2.608353, 
0.008300, 4.319617, 822.110931, -817.791314, -1.570796, 1.037321, -2.608117, 
0.008400, 4.350918, 805.860445, -801.509527, -1.570796, 1.037081, -2.607877, 
0.008500, 4.381533, 790.003508, -785.621975, -1.570796, 1.036839, -2.607635, 
0.008600, 4.411456, 774.530268, -770.118812, -1.570796, 1.036594, -2.607390, 
0.008700, 4.440682, 759.431121, -754.990439, -1.570796, 1.036346, -2.607142, 
0.008800, 4.469207, 744.696704, -740.227498, -1.570796, 1.036095, -2.606891, 
0.008900, 4.497026, 730.317890, -725.820864, -1.570796, 1.035841, -2.606637, 
0.009000, 4.524135, 716.285779, -711.761645, -1.570796, 1.035585, -2.606381, 
0.009100, 4.550529, 702.591697, -698.041168, -1.570796, 1.035325, -2.606121, 
0.009200, 4.576205, 689.227185, -684.650980, -1.570796, 1.035063, -2.605859, 
0.009300, 4.601159, 676.183998, -671.582839, -1.570796, 1.034798, -2.605594, 
0.009400, 4.625386, 663.454096, -658.828711, -1.570796, 1.034529, -2.605325, 
0.009500, 4.648882, 651.029642, -646.380760, -1.570796, 1.034258, -2.605054, 
0.009600, 4.671644, 638.902994, -634.231349, -1.570796, 1.033985, -2.604781, 
0.009700, 4.693669, 627.066701, -622.373033, -1.570796, 1.033708, -2.604504, 
0.009800, 4.714952, 615.513502, -610.798550, -1.570796, 1.033428, -2.604224, 
0.009900, 4.735491, 604.236314, -599.500823, -1.570796, 1.033146, -2.603942, 
0.010000, 4.755282, 593.228232, -588.472950, -1.570796, 1.032861, -2.603657, 
0.010100, 4.774322, 582.482526, -577.708204, -1.570796, 1.032572, -2.603368, 
0.010200, 4.792609, 571.992633, -567.200024, -1.570796, 1.032281, -2.603077, 
0.010300, 4.810138, 561.752153, -556.942015, -1.570796, 1.031987, -2.602783, 
0.010400, 4.826908, 551.754848, -546.927940, -1.570796, 1.031691, -2.602487, 
0.010500, 4.842915, 541.994636, -537.151720, -1.570796, 1.031391, -2.602187, 
0.010600, 4.858158, 532.465585, -527.607427, -1.570796, 1.031088, -2.601884, 
0.010700, 4.872634, 523.161914, -518.289280, -1.570796, 1.030783, -2.601579, 
0.010800, 4.886340, 514.077986, -509.191646, -1.570796, 1.030475, -2.601271, 
0.010900, 4.899275, 505.208304, -500.309029, -1.570796, 1.030164, -2.600960, 
0.011000, 4.911436, 496.547508, -491.636072, -1.570796, 1.029850, -2.600646, 
0.011100, 4.922821, 488.090374, -483.167553, -1.570796, 1.029533, -2.600329, 
0.011200, 4.933429, 479.831808, -474.898378, -1.570796, 1.029213, -2.600009, 
0.011300, 4.943259, 471.766841, -466.823583, -1.570796, 1.028890, -2.599686, 
0.011400, 4.952307, 463.890632, -458.938325, -1.570796, 1.028565, -2.599361, 
0.011500, 4.960573, 456.198458, -451.237885, -1.570796, 1.028237, -2.599033, 
